Ent_Fed,Munic,Parroquia,Total
Estado Aragua,"Aragua, Libertador",No Urbana San Martín de Porres,"56,880"
Estado Aragua,"Aragua, Mario Briceño Iragorry",Mario Briceño Iragorry,"35,873"
Estado Aragua,"Aragua, Mario Briceño Iragorry",Urbana Caña de Azúcar,"63,979"
Estado Aragua,"Aragua, San Casimiro",San Casimiro,"20,803"
Estado Aragua,"Aragua, San Casimiro",No Urbana Güiripa,"2,122"
Estado Aragua,"Aragua, San Casimiro",No Urbana Ollas de Caramacate,"1,200"
Estado Aragua,"Aragua, San Casimiro",No Urbana Valle Morín,"1,415"
Estado Aragua,"Aragua, San Sebastián",No tiene parroquia (Capital San Sebastián),"23,279"
Estado Aragua,"Aragua, Santiago Mariño",Santiago Mariño,"53,324"
Estado Aragua,"Aragua, Santiago Mariño",No Urbana Arévalo Aponte,"47,765"
Estado Aragua,"Aragua, Santiago Mariño",No Urbana Chuao,"1,853"
Estado Aragua,"Aragua, Santiago Mariño",No Urbana Samán de Güere,"81,812"
Estado Aragua,"Aragua, Santiago Mariño",No Urbana Alfredo Pacheco Miranda,"26,256"
Estado Aragua,"Aragua, Santos Michelena",Santos Michelena,"35,792"
Estado Aragua,"Aragua, Santos Michelena",No Urbana Tiara,"2,782"
Estado Aragua,"Aragua, Sucre",Sucre,"106,442"
Estado Aragua,"Aragua, Sucre",No Urbana Bella Vista,"8,067"
Estado Aragua,"Aragua, Tovar",No tiene parroquia (Capital La Colonia Tovar),"14,161"
Estado Aragua,"Aragua, Urdaneta",Urdaneta,"10,627"
Estado Aragua,"Aragua, Urdaneta",No Urbana Las Peñitas,"3,608"
Estado Aragua,"Aragua, Urdaneta",No Urbana San Francisco de Cara,"2,539"
Estado Aragua,"Aragua, Urdaneta",No Urbana Taguay,"4,497"
Estado Aragua,"Aragua, Zamora",Zamora,"89,364"
Estado Aragua,"Aragua, Zamora",No Urbana Magdaleno,"18,068"
Estado Aragua,"Aragua, Zamora",No Urbana San Francisco de Asís,"19,089"
Estado Aragua,"Aragua, Zamora",No Urbana Valles de Tucutunemo,"10,827"
Estado Aragua,"Aragua, Zamora",No Urbana Augusto Mijares,"7,406"
Estado Aragua,"Aragua, Francisco Linares Alcántara",Francisco Linares Alcántara,"89,025"
Estado Aragua,"Aragua, Francisco Linares Alcántara",No Urbana Francisco de Miranda,"19,522"
Estado Aragua,"Aragua, Francisco Linares Alcántara",No Urbana Monseñor Feliciano González,"14,575"
Estado Aragua,"Aragua, Ocumare de la Costa de Oro",No tiene parroquia (Capital Ocumare de la Costa),"12,816"
Estado Barinas,"Barinas, Alberto Arvelo Torrealba",Sabaneta,"34,148"
Estado Barinas,"Barinas, Alberto Arvelo Torrealba",Rodríguez Domínguez,"7,084"
Estado Barinas,"Barinas, Antonio José de Sucre",Ticoporo,"65,801"
Estado Barinas,"Barinas, Antonio José de Sucre",Andrés Bello,"7,147"
Estado Barinas,"Barinas, Antonio José de Sucre",Nicolás Pulido,"8,717"
Estado Barinas,"Barinas, Arismendi",Arismendi,"9,327"
Estado Barinas,"Barinas, Arismendi",Guadarrama,"2,165"
Estado Barinas,"Barinas, Arismendi",La Unión,"7,280"
Estado Barinas,"Barinas, Arismendi",San Antonio,"4,955"
Estado Barinas,"Barinas, Barinas",Barinas,"7,651"
Estado Barinas,"Barinas, Barinas",Alfredo Arvelo Larriva,"9,259"
Estado Barinas,"Barinas, Barinas",San Silvestre,"6,905"
Estado Barinas,"Barinas, Barinas",Santa Inés,"3,508"
Estado Barinas,"Barinas, Barinas",Santa Lucía,"5,780"
Estado Barinas,"Barinas, Barinas",Torunos,"4,882"
Estado Barinas,"Barinas, Barinas",El Carmen,"41,527"
Estado Barinas,"Barinas, Barinas",Rómulo Betancourt,"40,647"
Estado Barinas,"Barinas, Barinas",Corazón de Jesús,"58,413"
Estado Barinas,"Barinas, Barinas",Ramón Ignacio Méndez,"90,464"
Estado Barinas,"Barinas, Barinas",Alto Barinas,"64,194"
Estado Barinas,"Barinas, Barinas",Manuel Palacio Fajardo,"9,763"
Estado Barinas,"Barinas, Barinas",Juan Antonio Rodríguez Domínguez,"4,110"
Estado Barinas,"Barinas, Barinas",Dominga Ortiz de Páez,"6,748"
Estado Barinas,"Barinas, Bolívar",Barinitas,"43,863"
Estado Barinas,"Barinas, Bolívar",Altamira,"3,045"
Estado Barinas,"Barinas, Bolívar",Calderas,"5,964"
Estado Barinas,"Barinas, Cruz Paredes",Barrancas,"21,121"
Estado Barinas,"Barinas, Cruz Paredes",El Socorro,"4,345"
Estado Barinas,"Barinas, Cruz Paredes",Masparrito,576
Estado Barinas,"Barinas, Ezequiel Zamora",Santa Bárbara,"40,370"
Estado Barinas,"Barinas, Ezequiel Zamora",José Ignacio Pumar,"3,343"
Estado Barinas,"Barinas, Ezequiel Zamora",Pedro Briceño Méndez,"5,658"
Estado Barinas,"Barinas, Ezequiel Zamora",Ramón Ignacio Méndez,"4,209"
Estado Barinas,"Barinas, Obispos",Obispos,"15,696"
Estado Barinas,"Barinas, Obispos",El Real,"2,919"
Estado Barinas,"Barinas, Obispos",La Luz,"7,581"
Estado Barinas,"Barinas, Obispos",Los Guasimitos,"11,297"
Estado Barinas,"Barinas, Pedraza",Ciudad Bolivia,"44,975"
Estado Barinas,"Barinas, Pedraza",Ignacio Briceño,"6,274"
Estado Barinas,"Barinas, Pedraza",José Félix Ribas,"7,573"
Estado Barinas,"Barinas, Pedraza",Páez,"6,568"
Estado Barinas,"Barinas, Rojas",Libertad,"11,415"
Estado Barinas,"Barinas, Rojas",Dolores,"8,264"
Estado Barinas,"Barinas, Rojas",Palacios Fajardo,"11,855"
Estado Barinas,"Barinas, Rojas",Santa Rosa,"8,592"
Estado Barinas,"Barinas, Sosa",Ciudad de Nutrias,"15,168"
Estado Barinas,"Barinas, Sosa",El Regalo,"5,454"
Estado Barinas,"Barinas, Sosa",Puerto de Nutrias,"2,337"
Estado Barinas,"Barinas, Sosa",Santa Catalina,"1,183"
Estado Barinas,"Barinas, Andrés Eloy Blanco",El Cantón,"6,466"
Estado Barinas,"Barinas, Andrés Eloy Blanco",Santa Cruz de Guacas,"5,486"
Estado Barinas,"Barinas, Andrés Eloy Blanco",Puerto Vivas,"4,192"
Estado Bolívar,"Bolívar, Caroní",Cachamay,"42,354"
Estado Bolívar,"Bolívar, Caroní",Chirica,"96,368"
Estado Bolívar,"Bolívar, Caroní",Dalla Costa,"72,821"
Estado Bolívar,"Bolívar, Caroní",Once de Abril,"85,317"
Estado Bolívar,"Bolívar, Caroní",Simón Bolívar,"69,676"
Estado Bolívar,"Bolívar, Caroní",Unare,"174,851"
Estado Bolívar,"Bolívar, Caroní",Universidad,"44,117"
Estado Bolívar,"Bolívar, Caroní",Vista al Sol,"88,364"
Estado Bolívar,"Bolívar, Caroní",Pozo Verde,"23,471"
Estado Bolívar,"Bolívar, Caroní",Yocoima,"7,246"
Estado Bolívar,"Bolívar, Caroní",Cinco de Julio,"2,151"
Estado Bolívar,"Bolívar, Cedeño",Sección Capital Cedeño,"39,054"
Estado Bolívar,"Bolívar, Cedeño",Altagracia,"1,477"
Estado Bolívar,"Bolívar, Cedeño",Ascensión Farreras,"7,040"
Estado Bolívar,"Bolívar, Cedeño",Guaniamo,946
Estado Bolívar,"Bolívar, Cedeño",La Urbana,"4,710"
Estado Bolívar,"Bolívar, Cedeño",Pijiguaos,"13,773"
Estado Bolívar,"Bolívar, El Callao",No tiene parroquia (Capital El Callao),"21,769"
Estado Bolívar,"Bolívar, Gran Sabana",Sección Capital Gran Sabana,"26,622"
Estado Bolívar,"Bolívar, Gran Sabana",Ikabarú,"1,828"
Estado Bolívar,"Bolívar, Heres",Agua Salada,"79,847"
Estado Bolívar,"Bolívar, Heres",Catedral,"55,841"
Estado Bolívar,"Bolívar, Heres",José Antonio Páez,"32,166"
Estado Bolívar,"Bolívar, Heres",La Sabanita,"74,800"
Estado Bolívar,"Bolívar, Heres",Marhuanta,"36,646"
Estado Bolívar,"Bolívar, Heres",Vista Hermosa,"56,668"
Estado Bolívar,"Bolívar, Heres",Orinoco,"1,657"
Estado Bolívar,"Bolívar, Heres",Panapana,"2,341"
Estado Bolívar,"Bolívar, Heres",Zea,"2,314"
Estado Bolívar,"Bolívar, Piar",Sección Capital Piar,"83,748"
Estado Bolívar,"Bolívar, Piar",Andrés Eloy Blanco,"5,634"
Estado Bolívar,"Bolívar, Piar",Pedro Cova,"8,892"
Estado Bolívar,"Bolívar, Bolivariano Angostura",Sección Capital Angostura,"14,925"
Estado Bolívar,"Bolívar, Bolivariano Angostura",Barceloneta,"16,191"
Estado Bolívar,"Bolívar, Bolivariano Angostura",San Francisco,"6,494"
Estado Bolívar,"Bolívar, Bolivariano Angostura",Santa Bárbara,"3,317"
Estado Bolívar,"Bolívar, Roscio",Sección Capital Roscio,"21,039"
Estado Bolívar,"Bolívar, Roscio",Salom,711
Estado Bolívar,"Bolívar, Sifontes",Sección Capital Sifontes,"29,906"
Estado Bolívar,"Bolívar, Sifontes",Dalla Costa,"11,189"
Estado Bolívar,"Bolívar, Sifontes",San Isidro,"8,987"
Estado Bolívar,"Bolívar, Sucre",Sección Capital Sucre,"3,605"
Estado Bolívar,"Bolívar, Sucre",Aripao,"4,507"
Estado Bolívar,"Bolívar, Sucre",Guarataro,"7,240"
Estado Bolívar,"Bolívar, Sucre",Las Majadas,733
Estado Bolívar,"Bolívar, Sucre",Moitaco,"4,274"
Estado Bolívar,"Bolívar, Padre Pedro Chien",No tiene parroquia (Capital El Palmar),"15,488"
Estado Carabobo,"Carabobo, Bejuma",Urbana Bejuma,"31,581"
Estado Carabobo,"Carabobo, Bejuma",No Urbana Canoabo,"8,058"
Estado Carabobo,"Carabobo, Bejuma",No Urbana Simón Bolívar,"8,899"
Estado Carabobo,"Carabobo, Carlos Arvelo",Urbana Güigüe,"73,276"
Estado Carabobo,"Carabobo, Carlos Arvelo",No Urbana Belén,"13,786"
Estado Carabobo,"Carabobo, Carlos Arvelo",No Urbana Tacarigua,"63,215"
Estado Carabobo,"Carabobo, Diego Ibarra",Urbana Aguas Calientes,"38,452"
Estado Carabobo,"Carabobo, Diego Ibarra",Urbana Mariara,"66,084"
Estado Carabobo,"Carabobo, Guacara",Urbana Ciudad Alianza,"20,414"
Estado Carabobo,"Carabobo, Guacara",Urbana Guacara,"131,695"
Estado Carabobo,"Carabobo, Guacara",No Urbana Yagua,"24,109"
Estado Carabobo,"Carabobo, Juan José Mora",Urbana Morón,"60,588"
Estado Carabobo,"Carabobo, Juan José Mora",No Urbana Urama,"8,648"
Estado Carabobo,"Carabobo, Libertador",Urbana Tocuyito,"129,937"
Estado Carabobo,"Carabobo, Libertador",Urbana Independencia,"36,229"
Estado Carabobo,"Carabobo, Los Guayos",Urbana Los Guayos,"149,606"
Estado Carabobo,"Carabobo, Miranda",Urbana Miranda,"29,092"
Estado Carabobo,"Carabobo, Montalbán",Urbana Montalbán,"24,908"
Estado Carabobo,"Carabobo, Naguanagua",Urbana Naguanagua,"157,437"
Estado Carabobo,"Carabobo, Puerto Cabello",Urbana Bartolomé Salom,"41,813"
Estado Carabobo,"Carabobo, Puerto Cabello",Urbana Democracia,"8,878"
Estado Carabobo,"Carabobo, Puerto Cabello",Urbana Fraternidad,"9,180"
Estado Carabobo,"Carabobo, Puerto Cabello",Urbana Goaigoaza,"46,289"
Estado Carabobo,"Carabobo, Puerto Cabello",Urbana Juan José Flores,"64,979"
Estado Carabobo,"Carabobo, Puerto Cabello",Urbana Unión,"2,560"
Estado Carabobo,"Carabobo, Puerto Cabello",No Urbana Borburata,"5,202"
Estado Carabobo,"Carabobo, Puerto Cabello",No Urbana Patanemo,"3,592"
Estado Carabobo,"Carabobo, San Diego",Urbana San Diego,"93,257"
Estado Carabobo,"Carabobo, San Joaquín",Urbana San Joaquín,"64,124"
Estado Carabobo,"Carabobo, Valencia",Urbana Candelaria,"25,496"
Estado Carabobo,"Carabobo, Valencia",Urbana Catedral,"2,230"
Estado Carabobo,"Carabobo, Valencia",Urbana El Socorro,"5,406"
Estado Carabobo,"Carabobo, Valencia",Urbana Miguel Peña,"371,087"
Estado Carabobo,"Carabobo, Valencia",Urbana Rafael Urdaneta,"191,004"
Estado Carabobo,"Carabobo, Valencia",Urbana San Blas,"22,778"
Estado Carabobo,"Carabobo, Valencia",Urbana San José,"132,534"
Estado Carabobo,"Carabobo, Valencia",Urbana Santa Rosa,"70,449"
Estado Carabobo,"Carabobo, Valencia",No Urbana Negro Primero,"8,872"
Estado Cojedes,"Cojedes, Anzoátegui",Cojedes,"6,305"
Estado Cojedes,"Cojedes, Anzoátegui",Juan de Mata Suárez,"10,725"
Estado Cojedes,"Cojedes, Tinaquillo",Tinaquillo,"97,687"
Estado Cojedes,"Cojedes, Girardot",El Baúl,"9,831"
Estado Cojedes,"Cojedes, Girardot",Sucre,"2,075"
Estado Cojedes,"Cojedes, Lima Blanco",Macapo,"5,508"
Estado Cojedes,"Cojedes, Lima Blanco",La Aguadita,"3,946"
Estado Cojedes,"Cojedes, Pao de San Juan Bautista",El Pao,"16,810"
Estado Cojedes,"Cojedes, Ricaurte",Libertad de Cojedes,"11,471"
Estado Cojedes,"Cojedes, Ricaurte",El Amparo,"1,186"
Estado Cojedes,"Cojedes, Rómulo Gallegos",Rómulo Gallegos,"18,297"
Estado Cojedes,"Cojedes, Ezequiel Zamora",San Carlos de Austria,"101,346"
Estado Cojedes,"Cojedes, Ezequiel Zamora",Juan Ángel Bravo,"1,132"
Estado Cojedes,"Cojedes, Ezequiel Zamora",Manuel Manrique,"4,282"
Estado Cojedes,"Cojedes, Tinaco",General en Jefe José Laurencio Silva,"32,564"
Estado Delta Amacuro,"Delta Amacuro, Antonio Díaz",Curiapo,"6,232"
Estado Delta Amacuro,"Delta Amacuro, Antonio Díaz",Almirante Luis Brión,"1,410"
Estado Delta Amacuro,"Delta Amacuro, Antonio Díaz",Francisco Aniceto Lugo,"2,449"
Estado Delta Amacuro,"Delta Amacuro, Antonio Díaz",Manuel Renaud,"6,109"
Estado Delta Amacuro,"Delta Amacuro, Antonio Díaz",Padre Barral,"8,619"
Estado Delta Amacuro,"Delta Amacuro, Antonio Díaz",Santos de Abelgas,"1,836"
Estado Delta Amacuro,"Delta Amacuro, Casacoima",Imataca,"10,955"
Estado Delta Amacuro,"Delta Amacuro, Casacoima",Cinco de Julio,53
Estado Delta Amacuro,"Delta Amacuro, Casacoima",Juan Bautista Arismendi,"3,490"
Estado Delta Amacuro,"Delta Amacuro, Casacoima",Manuel Piar,"12,413"
Estado Delta Amacuro,"Delta Amacuro, Casacoima",Rómulo Gallegos,"2,644"
Estado Delta Amacuro,"Delta Amacuro, Pedernales",Pedernales,"4,682"
Estado Delta Amacuro,"Delta Amacuro, Pedernales",Luis Beltrán Prieto Figueroa,"1,756"
Estado Delta Amacuro,"Delta Amacuro, Tucupita",San José,"5,025"
Estado Delta Amacuro,"Delta Amacuro, Tucupita",José Vidal Marcano,"18,166"
Estado Delta Amacuro,"Delta Amacuro, Tucupita",Juan Millán,"10,880"
Estado Delta Amacuro,"Delta Amacuro, Tucupita",Leonardo Ruíz Pineda,"19,153"
Estado Delta Amacuro,"Delta Amacuro, Tucupita",Mariscal Antonio José de Sucre,"11,588"
Estado Delta Amacuro,"Delta Amacuro, Tucupita",Monseñor Argimiro García,"14,144"
Estado Delta Amacuro,"Delta Amacuro, Tucupita",San Rafael,"16,049"
Estado Delta Amacuro,"Delta Amacuro, Tucupita",Virgen del Valle,"7,872"
Estado Falcón,"Falcón, Acosta",San Juan de los Cayos,"7,815"
Estado Falcón,"Falcón, Acosta",Capadare,"6,556"
Estado Falcón,"Falcón, Acosta",La Pastora,"3,341"
Estado Falcón,"Falcón, Acosta",Libertador,"1,333"
Estado Falcón,"Falcón, Bolívar",San Luis,"4,296"
Estado Falcón,"Falcón, Bolívar",Aracua,"2,581"
Estado Falcón,"Falcón, Bolívar",La Peña,"1,662"
Estado Falcón,"Falcón, Buchivacoa",Capatárida,"8,052"
Estado Falcón,"Falcón, Buchivacoa",Bariro,"2,547"
Estado Falcón,"Falcón, Buchivacoa",Borojó,"2,112"
Estado Falcón,"Falcón, Buchivacoa",Guajiro,"2,217"
Estado Falcón,"Falcón, Buchivacoa",Seque,"2,512"
Estado Falcón,"Falcón, Buchivacoa",Zazárida,"5,457"
Estado Falcón,"Falcón, Cacique Manaure",No tiene parroquia (Capital Yaracal),"10,874"
Estado Falcón,"Falcón, Carirubana",Carirubana,"60,158"
Estado Falcón,"Falcón, Carirubana",Norte,"68,142"
Estado Falcón,"Falcón, Carirubana",Punta Cardón,"95,829"
Estado Falcón,"Falcón, Carirubana",Santa Ana,"15,315"
Estado Falcón,"Falcón, Colina",La Vela de Coro,"29,461"
Estado Falcón,"Falcón, Colina",Acurigua,"1,563"
Estado Falcón,"Falcón, Colina",Guaibacoa,833
Estado Falcón,"Falcón, Colina",Las Calderas,"7,923"
