ano,Clave,ES,EST, Muni , Total , H , M ,,,, Total , H , M ,,,Clave,ES,EST, Muni , Total , H , M ,,,,,,,,
1998,MO-Municipio Sotillo,MO,MONAGAS, Municipio Sotillo , 67 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,MO-Municipio Uracoa,MO,MONAGAS, Municipio Uracoa , 15 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,NU-Municipio Antolin del Campo,NU,NUEVA ESPARTA, Municipio Antolin del Campo , 48 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,NU-Municipio Arismendi,NU,NUEVA ESPARTA, Municipio Arismendi , 90 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,NU-Municipio Díaz,NU,NUEVA ESPARTA, Municipio Díaz , 84 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,NU-Municipio García,NU,NUEVA ESPARTA, Municipio García , 45 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,NU-Municipio Gómez,NU,NUEVA ESPARTA, Municipio Gómez , 74 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,NU-Municipio Maneiro,NU,NUEVA ESPARTA, Municipio Maneiro , 67 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,NU-Municipio Marcano,NU,NUEVA ESPARTA, Municipio Marcano , 91 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,NU-Municipio Mariño,NU,NUEVA ESPARTA, Municipio Mariño , 985 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,NU-Municipio Península de Macanao,NU,NUEVA ESPARTA, Municipio Península de Macanao , 46 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,NU-Municipio Tubores,NU,NUEVA ESPARTA, Municipio Tubores , 52 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,NU-Municipio Villalba,NU,NUEVA ESPARTA, Municipio Villalba , 19 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Agua Blanca,PO,PORTUGUESA, Municipio Agua Blanca , 37 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Araure,PO,PORTUGUESA, Municipio Araure , 949 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Esteller,PO,PORTUGUESA, Municipio Esteller , 114 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Guanare,PO,PORTUGUESA, Municipio Guanare , 654 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Guanarito,PO,PORTUGUESA, Municipio Guanarito , 88 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Monseñor José Vicente de Unda,PO,PORTUGUESA, Municipio Monseñor José Vicente de Unda , 79 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Ospino,PO,PORTUGUESA, Municipio Ospino , 84 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Páez,PO,PORTUGUESA, Municipio Páez , 424 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Papelón,PO,PORTUGUESA, Municipio Papelón , 24 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio San Genaro de Boconoito,PO,PORTUGUESA, Municipio San Genaro de Boconoito , 62 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio San Rafael de Onoto,PO,PORTUGUESA, Municipio San Rafael de Onoto , 31 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Santa Rosalía,PO,PORTUGUESA, Municipio Santa Rosalía , 30 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Sucre,PO,PORTUGUESA, Municipio Sucre , 122 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,PO-Municipio Turen,PO,PORTUGUESA, Municipio Turen , 189 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Andrés Eloy Blanco,SU,SUCRE, Municipio Andrés Eloy Blanco , 61 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Andrés Mata,SU,SUCRE, Municipio Andrés Mata , 65 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Arismendi,SU,SUCRE, Municipio Arismendi , 133 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Benítez,SU,SUCRE, Municipio Benítez , 77 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Bermúdez,SU,SUCRE, Municipio Bermúdez , 703 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Bolívar,SU,SUCRE, Municipio Bolívar , 34 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Cajigal,SU,SUCRE, Municipio Cajigal , 83 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Cruz Salmeron Acosta,SU,SUCRE, Municipio Cruz Salmeron Acosta , 52 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Libertador,SU,SUCRE, Municipio Libertador , 31 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Mariño,SU,SUCRE, Municipio Mariño , 87 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Mejia,SU,SUCRE, Municipio Mejia , 15 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Montes,SU,SUCRE, Municipio Montes , 180 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Ribero,SU,SUCRE, Municipio Ribero , 160 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Sucre,SU,SUCRE, Municipio Sucre ," 1,237 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,SU-Municipio Valdez,SU,SUCRE, Municipio Valdez , 123 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Andrés Bello,TA,TACHIRA, Municipio Andrés Bello , 38 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Antonio Rómulo Acosta,TA,TACHIRA, Municipio Antonio Rómulo Acosta , 25 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Ayacucho,TA,TACHIRA, Municipio Ayacucho , 226 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Bolívar,TA,TACHIRA, Municipio Bolívar , 159 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Cárdenas,TA,TACHIRA, Municipio Cárdenas , 250 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Córdoba,TA,TACHIRA, Municipio Córdoba , 64 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Fernández Feo,TA,TACHIRA, Municipio Fernández Feo , 150 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Francisco de Miranda,TA,TACHIRA, Municipio Francisco de Miranda , 25 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio García de Hevia,TA,TACHIRA, Municipio García de Hevia , 158 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Guasimos,TA,TACHIRA, Municipio Guasimos , 63 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Independencia,TA,TACHIRA, Municipio Independencia , 79 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Jáuregui,TA,TACHIRA, Municipio Jáuregui , 197 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio José María Vargas,TA,TACHIRA, Municipio José María Vargas , 32 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Junín,TA,TACHIRA, Municipio Junín , 265 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Libertad,TA,TACHIRA, Municipio Libertad , 59 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Libertador,TA,TACHIRA, Municipio Libertador , 73 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Lobatera,TA,TACHIRA, Municipio Lobatera , 48 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Michelena,TA,TACHIRA, Municipio Michelena , 68 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Panamericano,TA,TACHIRA, Municipio Panamericano , 148 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Pedro María Ureña,TA,TACHIRA, Municipio Pedro María Ureña , 116 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Rafael Urdaneta,TA,TACHIRA, Municipio Rafael Urdaneta , 18 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Samuel Darío Maldonado,TA,TACHIRA, Municipio Samuel Darío Maldonado , 39 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio San Cristóbal,TA,TACHIRA, Municipio San Cristóbal ," 2,220 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio San Judas Tadeo,TA,TACHIRA, Municipio San Judas Tadeo , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Seboruco,TA,TACHIRA, Municipio Seboruco , 23 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Simón Rodríguez,TA,TACHIRA, Municipio Simón Rodríguez , 16 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Sucre,TA,TACHIRA, Municipio Sucre , 18 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Torbes,TA,TACHIRA, Municipio Torbes , 44 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TA-Municipio Uribante,TA,TACHIRA, Municipio Uribante , 73 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Andrés Bello,TR,TRUJILLO, Municipio Andrés Bello , 39 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Bocono,TR,TRUJILLO, Municipio Bocono , 552 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Bolívar,TR,TRUJILLO, Municipio Bolívar , 21 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Candelaria,TR,TRUJILLO, Municipio Candelaria , 68 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Carache,TR,TRUJILLO, Municipio Carache , 148 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Escuqué,TR,TRUJILLO, Municipio Escuqué , 56 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio José Felipe Márquez Cañizales,TR,TRUJILLO, Municipio José Felipe Márquez Cañizales , 6 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Juan Vicente Campo Elías,TR,TRUJILLO, Municipio Juan Vicente Campo Elías , 16 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio La Ceiba,TR,TRUJILLO, Municipio La Ceiba , 28 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Miranda,TR,TRUJILLO, Municipio Miranda , 36 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Monte Carmelo,TR,TRUJILLO, Municipio Monte Carmelo , 55 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Motatán,TR,TRUJILLO, Municipio Motatán , 30 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Pampan,TR,TRUJILLO, Municipio Pampan , 144 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Pampanito,TR,TRUJILLO, Municipio Pampanito , 39 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Rafael Rangel,TR,TRUJILLO, Municipio Rafael Rangel , 49 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio San Rafael de Carvajal,TR,TRUJILLO, Municipio San Rafael de Carvajal , 117 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Sucre,TR,TRUJILLO, Municipio Sucre , 107 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Trujillo,TR,TRUJILLO, Municipio Trujillo , 397 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Urdaneta,TR,TRUJILLO, Municipio Urdaneta , 131 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,TR-Municipio Varela,TR,TRUJILLO, Municipio Varela ," 1,218 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,VA-Parroquia Caraballeda,VA,VARGAS, Parroquia Caraballeda , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,VA-Parroquia Carayaca,VA,VARGAS, Parroquia Carayaca , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,VA-Parroquia Carlos Soublette,VA,VARGAS, Parroquia Carlos Soublette , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,VA-Parroquia Caruao,VA,VARGAS, Parroquia Caruao , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,VA-Parroquia Catia La Mar,VA,VARGAS, Parroquia Catia La Mar , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,VA-Parroquia El Junko,VA,VARGAS, Parroquia El Junko , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,VA-Parroquia La Guaira,VA,VARGAS, Parroquia La Guaira , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,VA-Parroquia Macuto,VA,VARGAS, Parroquia Macuto , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,VA-Parroquia Maiquetía,VA,VARGAS, Parroquia Maiquetía , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,VA-Parroquia Naiquatá,VA,VARGAS, Parroquia Naiquatá , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,VA-Parroquia Raúl Leoni,VA,VARGAS, Parroquia Raúl Leoni , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio Arístides Bastidas,YA,YARACUY, Municipio Arístides Bastidas , 30 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio Bolívar,YA,YARACUY, Municipio Bolívar , 62 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio Bruzual,YA,YARACUY, Municipio Bruzual , 159 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio Cocorote,YA,YARACUY, Municipio Cocorote , 80 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio Independencia,YA,YARACUY, Municipio Independencia , 77 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio José Antonio Páez,YA,YARACUY, Municipio José Antonio Páez , 34 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio La Trinidad,YA,YARACUY, Municipio La Trinidad , 8 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio Manuel Monge,YA,YARACUY, Municipio Manuel Monge , 20 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio Nirgua,YA,YARACUY, Municipio Nirgua , 224 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio Peña,YA,YARACUY, Municipio Peña , 206 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio San Felipe,YA,YARACUY, Municipio San Felipe , 984 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio Sucre,YA,YARACUY, Municipio Sucre , 42 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio Urachiche,YA,YARACUY, Municipio Urachiche , 44 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,YA-Municipio Veroes,YA,YARACUY, Municipio Veroes , 49 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Almirante Padilla,ZU,ZULIA, Municipio Almirante Padilla , 26 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Baralt,ZU,ZULIA, Municipio Baralt , 263 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Cabimas,ZU,ZULIA, Municipio Cabimas ," 1,039 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Catatumbo,ZU,ZULIA, Municipio Catatumbo , 96 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Colon,ZU,ZULIA, Municipio Colon , 396 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Francisco Javier Pulgar,ZU,ZULIA, Municipio Francisco Javier Pulgar , 58 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Jesús Enrique Losada,ZU,ZULIA, Municipio Jesús Enrique Losada , 279 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Jesús Maria Semprun,ZU,ZULIA, Municipio Jesús Maria Semprun , 39 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio La Cañada de Urdaneta,ZU,ZULIA, Municipio La Cañada de Urdaneta , 189 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Lagunillas,ZU,ZULIA, Municipio Lagunillas , 787 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Machiques de Perija,ZU,ZULIA, Municipio Machiques de Perija , 380 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Mara,ZU,ZULIA, Municipio Mara , 608 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Maracaibo,ZU,ZULIA, Municipio Maracaibo ," 7,579 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Miranda,ZU,ZULIA, Municipio Miranda , 209 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Páez,ZU,ZULIA, Municipio Páez , 113 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Rosario de Perija,ZU,ZULIA, Municipio Rosario de Perija , 213 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio San Francisco,ZU,ZULIA, Municipio San Francisco , 792 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Santa Rita,ZU,ZULIA, Municipio Santa Rita , 106 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Simón Bolívar,ZU,ZULIA, Municipio Simón Bolívar , 65 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Sucre,ZU,ZULIA, Municipio Sucre , 222 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,ZU-Municipio Valmore Rodríguez,ZU,ZULIA, Municipio Valmore Rodríguez , 129 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1998,DE-Parroquia Gran Roque,DE,DEPENDENCIAS FEDERALES, Parroquia Gran Roque , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,VA-Municipio Autónomo Vargas,VA,VARGAS, Municipio Autónomo Vargas , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Municipio Autónomo Vargas,DI,DISTRITO FEDERAL, Municipio Autónomo Vargas ," 1,370 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Municipio Autónomo Libertador,DI,DISTRITO CAPITAL, Municipio Autónomo Libertador ," 12,934 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia Altagracia,DI,DISTRITO CAPITAL, Parroquia Altagracia , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia Antímano,DI,DISTRITO CAPITAL, Parroquia Antímano , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia Candelaria,DI,DISTRITO CAPITAL, Parroquia Candelaria , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia Caricuao,DI,DISTRITO CAPITAL, Parroquia Caricuao , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia Catedral,DI,DISTRITO CAPITAL, Parroquia Catedral , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia Coche,DI,DISTRITO CAPITAL, Parroquia Coche , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia El Junquito,DI,DISTRITO CAPITAL, Parroquia El Junquito , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia El Paraíso,DI,DISTRITO CAPITAL, Parroquia El Paraíso , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia El Recreo,DI,DISTRITO CAPITAL, Parroquia El Recreo , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia El Valle,DI,DISTRITO CAPITAL, Parroquia El Valle , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia La Pastora,DI,DISTRITO CAPITAL, Parroquia La Pastora , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia La Vega,DI,DISTRITO CAPITAL, Parroquia La Vega , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia Macarao,DI,DISTRITO CAPITAL, Parroquia Macarao , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia San Agustín,DI,DISTRITO CAPITAL, Parroquia San Agustín , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia San Bernardino,DI,DISTRITO CAPITAL, Parroquia San Bernardino , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia San José,DI,DISTRITO CAPITAL, Parroquia San José , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia San Juan,DI,DISTRITO CAPITAL, Parroquia San Juan , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia San Pedro,DI,DISTRITO CAPITAL, Parroquia San Pedro , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia Santa Rosalía,DI,DISTRITO CAPITAL, Parroquia Santa Rosalía , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia Santa Teresa,DI,DISTRITO CAPITAL, Parroquia Santa Teresa , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia Sucre,DI,DISTRITO CAPITAL, Parroquia Sucre , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,DI-Parroquia Veintitrés de Enero,DI,DISTRITO CAPITAL, Parroquia Veintitrés de Enero , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AM-Municipio Autónomo Alto Orinoco,AM,AMAZONAS, Municipio Autónomo Alto Orinoco , 45 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AM-Municipio Autónomo Atabapo,AM,AMAZONAS, Municipio Autónomo Atabapo , 14 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AM-Municipio Autónomo Atures,AM,AMAZONAS, Municipio Autónomo Atures , 274 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AM-Municipio Autónomo Autana,AM,AMAZONAS, Municipio Autónomo Autana , 9 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AM-Municipio Autónomo Manapiare,AM,AMAZONAS, Municipio Autónomo Manapiare , 2 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AM-Municipio Autónomo Maroa,AM,AMAZONAS, Municipio Autónomo Maroa , 4 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AM-Municipio Autónomo Río Negro,AM,AMAZONAS, Municipio Autónomo Río Negro , 2 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Anaco,AN,ANZOATEGUI, Municipio Anaco , 196 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Aragua,AN,ANZOATEGUI, Municipio Aragua , 92 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Diego Bautista Urbaneja,AN,ANZOATEGUI, Municipio Diego Bautista Urbaneja , 86 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Fernando Peñalver,AN,ANZOATEGUI, Municipio Fernando Peñalver , 48 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Francisco de Miranda,AN,ANZOATEGUI, Municipio Francisco de Miranda , 65 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Francisco del Carmen Carvajal,AN,ANZOATEGUI, Municipio Francisco del Carmen Carvajal , 41 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Guanta,AN,ANZOATEGUI, Municipio Guanta , 45 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Independencia,AN,ANZOATEGUI, Municipio Independencia , 78 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio José Gregorio Monagas,AN,ANZOATEGUI, Municipio José Gregorio Monagas , 36 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Juan Antonio Sotillo,AN,ANZOATEGUI, Municipio Juan Antonio Sotillo , 461 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Juan Manuel Cajigal,AN,ANZOATEGUI, Municipio Juan Manuel Cajigal , 33 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Libertad,AN,ANZOATEGUI, Municipio Libertad , 30 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Manuel Ezequiel Bruzual,AN,ANZOATEGUI, Municipio Manuel Ezequiel Bruzual , 67 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Pedro María Freites,AN,ANZOATEGUI, Municipio Pedro María Freites , 219 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio Píritu,AN,ANZOATEGUI, Municipio Píritu , 44 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio San José de Guanipa,AN,ANZOATEGUI, Municipio San José de Guanipa , 103 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
1997,AN-Municipio San Juan de Capistrano,AN,ANZOATEGUI, Municipio San Juan de Capistrano , 35 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,
