ano,Clave,ES,EST, Muni , Total , H , M ,,,, Total , H , M ,,,Clave,ES,EST, Muni , Total , H , M ,,,,,,,,
,CA-Municipio Montalbán,CA,CARABOBO,Municipio Montalbán,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio Naguanagua,CA,CARABOBO,Municipio Naguanagua,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio Puerto Cabello,CA,CARABOBO,Municipio Puerto Cabello,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio San Diego,CA,CARABOBO,Municipio San Diego,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio San Joaquín,CA,CARABOBO,Municipio San Joaquín,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CA-Municipio Valencia,CA,CARABOBO,Municipio Valencia,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CO-Municipio Anzoátegui,CO,COJEDES,Municipio Anzoátegui,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CO-Municipio Falcón,CO,COJEDES,Municipio Falcón,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CO-Municipio Girardot,CO,COJEDES,Municipio Girardot,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CO-Municipio Lima Blanco,CO,COJEDES,Municipio Lima Blanco,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CO-Municipio Pao de San Juan  Bautista,CO,COJEDES,Municipio Pao de San Juan  Bautista,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CO-Municipio Ricaurte,CO,COJEDES,Municipio Ricaurte,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CO-Municipio Rómulo Gallegos,CO,COJEDES,Municipio Rómulo Gallegos,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CO-Municipio San Carlos,CO,COJEDES,Municipio San Carlos,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,CO-Municipio Tinaco,CO,COJEDES,Municipio Tinaco,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,DE-Municipio Antonio Díaz,DE,DELTA AMACURO,Municipio Antonio Díaz,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,DE-Municipio Casacoima,DE,DELTA AMACURO,Municipio Casacoima,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,DE-Municipio Pedernales,DE,DELTA AMACURO,Municipio Pedernales,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,DE-Municipio Tucupita,DE,DELTA AMACURO,Municipio Tucupita,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Acosta,FA,FALCON,Municipio Acosta,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Bolívar,FA,FALCON,Municipio Bolívar,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Buchivacoa,FA,FALCON,Municipio Buchivacoa,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Cacique Manaure,FA,FALCON,Municipio Cacique Manaure,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Carirubana,FA,FALCON,Municipio Carirubana,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Colina,FA,FALCON,Municipio Colina,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Dabajuro,FA,FALCON,Municipio Dabajuro,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Democracia,FA,FALCON,Municipio Democracia,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Falcón,FA,FALCON,Municipio Falcón,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Federación,FA,FALCON,Municipio Federación,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Jacura,FA,FALCON,Municipio Jacura,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Los Taques,FA,FALCON,Municipio Los Taques,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Mauroa,FA,FALCON,Municipio Mauroa,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Miranda,FA,FALCON,Municipio Miranda,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Monseñor Iturriza,FA,FALCON,Municipio Monseñor Iturriza,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Palmasola,FA,FALCON,Municipio Palmasola,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Petit,FA,FALCON,Municipio Petit,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Píritu,FA,FALCON,Municipio Píritu,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio San Francisco,FA,FALCON,Municipio San Francisco,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Silva,FA,FALCON,Municipio Silva,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Sucre,FA,FALCON,Municipio Sucre,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Tocopero,FA,FALCON,Municipio Tocopero,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Unión,FA,FALCON,Municipio Unión,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Urumaco,FA,FALCON,Municipio Urumaco,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,FA-Municipio Zamora,FA,FALCON,Municipio Zamora,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Camaguán,GU,GUARICO,Municipio Camaguán,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Chaguaramas,GU,GUARICO,Municipio Chaguaramas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio El Socorro,GU,GUARICO,Municipio El Socorro,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Guayabal,GU,GUARICO,Municipio Guayabal,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Infante,GU,GUARICO,Municipio Infante,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Las Mercedes,GU,GUARICO,Municipio Las Mercedes,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Mellado,GU,GUARICO,Municipio Mellado,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Miranda,GU,GUARICO,Municipio Miranda,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Monagas,GU,GUARICO,Municipio Monagas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Ortiz,GU,GUARICO,Municipio Ortiz,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Ribas,GU,GUARICO,Municipio Ribas,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Roscio,GU,GUARICO,Municipio Roscio,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio San José de Guaribe,GU,GUARICO,Municipio San José de Guaribe,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Santa Maria de Ipire,GU,GUARICO,Municipio Santa Maria de Ipire,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
,GU-Municipio Zaraza,GU,GUARICO,Municipio Zaraza,0,0,0,#N/D,#N/D,,0,0,0,,,,,,,,,,,,,,,,,
